Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,Lamar Jackson,QB,2,208,0,65,0,0,0,2,2,0,0,0,0,0,0,0,0,0,16.82
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,Ben Roethlisberger,QB,2,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.28
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,Gus Edwards,RB,0,0,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,James Conner,RB,0,0,1,47,3,0,13,0,0,0,0,0,0,0,0,0,0,0,13.5
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,Willie Snead,WR,0,0,0,0,5,0,106,0,0,0,0,0,0,0,0,0,0,0,13.1
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,Eric Ebron,TE,0,0,0,0,4,1,48,0,0,0,0,0,0,0,0,0,0,0,12.8
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,J.K. Dobbins,RB,0,0,0,113,1,0,8,0,0,0,0,0,0,0,0,0,0,0,12.6
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,Chase Claypool,WR,0,0,0,0,5,1,42,0,1,0,0,0,0,0,0,0,0,0,10.7
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,JuJu Smith-Schuster,WR,0,0,0,0,7,0,67,0,0,0,0,0,0,0,0,0,0,0,10.2
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,Miles Boykin,WR,0,0,0,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,9.0
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,8.0
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,Marquise Brown,WR,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,Mark Andrews,TE,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,Devin Duvernay,WR,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,4.4
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,Diontae Johnson,WR,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,Ray-Ray McCloud,WR,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,Anthony McFarland Jr.,RB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,James Washington,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Pittsburgh SteelersVBaltimore Ravens,PIT,Jaylen Samuels,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,James Proche,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Pittsburgh SteelersVBaltimore Ravens,BAL,Nick Boyle,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
