Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,D.K. Metcalf,WR,0,0,0,0,12,2,161,0,0,0,0,0,0,0,0,0,0,0,34.1
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,Russell Wilson,QB,4,261,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.74
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,DeeJay Dallas,RB,0,0,1,41,5,1,17,0,0,0,0,0,0,0,0,0,0,0,20.3
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Brandon Aiyuk,WR,0,0,0,0,8,1,91,0,0,0,0,0,0,0,0,0,0,0,19.1
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Nick Mullens,QB,2,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.52
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Kendrick Bourne,wr,0,0,0,0,8,0,81,0,0,0,0,0,0,0,0,0,0,0,12.1
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,David Moore,WR,0,0,0,28,3,1,18,0,0,0,0,0,0,0,0,0,0,0,12.1
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Jerick McKinnon,RB,0,0,1,-1,4,0,40,0,0,0,0,0,0,0,0,0,0,0,11.9
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Jamycal Hasty,RB,0,0,1,29,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9.6
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Ross Dwelley,TE,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,8.1
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,Jason Myers,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,8.0
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,Tyler Lockett,WR,0,0,0,0,4,0,33,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,George Kittle,TE,0,0,0,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Trent Taylor,WR,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Kyle Juszczyk,FB,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Robbie Gould\g,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Jimmy Garoppolo,qb,0,84,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.76
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,Will Dissly,TE,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Tevin Coleman,RB,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,Nick Bellore,LB,0,0,0,5,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,Jacob Hollister,te,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,Travis Homer,RB,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,8,San Francisco 49ersVSeattle Seahawks,SEA,Greg Olsen,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,San Francisco 49ersVSeattle Seahawks,SFO,Dante Pettis,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
