Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Tom Brady,QB,2,279,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.06
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Daniel Jones,QB,2,256,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18.24
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Ryan Succop,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,15.0
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Mike Evans,WR,0,0,0,0,5,1,55,0,0,0,0,0,0,0,0,0,0,0,14.0
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Wayne Gallman,RB,0,0,1,44,1,0,18,0,0,0,0,0,0,0,0,0,0,0,12.7
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Rob Gronkowski,TE,0,0,0,0,4,1,41,0,0,0,0,0,0,0,0,0,0,0,12.1
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Sterling Shepard,WR,0,0,0,0,8,0,74,0,0,0,0,0,0,0,0,0,0,0,11.4
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Golden Tate,WR,0,18,0,0,2,1,31,0,0,0,0,0,0,0,0,0,0,0,10.82
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Evan Engram,TE,0,0,0,9,5,0,61,0,0,0,0,0,0,0,0,0,0,0,9.5
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Leonard Fournette,RB,0,0,0,52,3,0,19,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Darius Slayton,WR,0,0,0,0,5,0,56,0,0,0,0,0,0,0,0,0,0,0,8.1
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Dion Lewis,RB,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,7.8
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Jaydon Mickens,WR,0,0,0,0,5,0,36,0,0,0,0,0,0,0,0,0,0,0,6.1
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Scott Miller,WR,0,0,0,7,3,0,35,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Graham Gano,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5.0
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Ronald Jones II,RB,0,0,0,23,4,0,23,0,1,0,0,0,0,0,0,0,0,0,4.6
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Tyler Johnson,WR,0,0,0,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,4.5
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Cameron Brate,TE,0,0,0,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,4.5
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Alfred Morris,RB,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Elijhaa Penny,RB,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Levine Toilolo,TE,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Kaden Smith,TE,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Tanner Hudson,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Tampa Bay BuccaneersVNew York Giants,TAM,Justin Watson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Tampa Bay BuccaneersVNew York Giants,NYG,Jabrill Peppers,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
