Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,8,Tennessee TitansVCincinnati Bengals,TEN,Corey Davis,WR,0,0,0,0,8,1,128,0,0,0,0,0,0,0,0,0,0,0,22.8
2020,8,Tennessee TitansVCincinnati Bengals,CIN,Giovani Bernard,RB,0,0,1,62,3,1,16,0,0,0,0,0,0,0,0,0,0,0,21.3
2020,8,Tennessee TitansVCincinnati Bengals,CIN,Joe Burrow,QB,2,249,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.86
2020,8,Tennessee TitansVCincinnati Bengals,TEN,Ryan Tannehill,QB,2,233,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.32
2020,8,Tennessee TitansVCincinnati Bengals,TEN,Derrick Henry,RB,0,0,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2
2020,8,Tennessee TitansVCincinnati Bengals,CIN,Tyler Boyd,WR,0,0,0,9,6,1,67,0,0,0,0,0,0,0,0,0,0,0,16.6
2020,8,Tennessee TitansVCincinnati Bengals,CIN,Tee Higgins,WR,0,0,0,6,6,0,78,0,0,0,0,0,0,0,0,0,0,0,11.4
2020,8,Tennessee TitansVCincinnati Bengals,TEN,A.J. Brown,WR,0,0,0,0,4,1,24,0,0,0,0,0,0,0,0,0,0,0,10.4
2020,8,Tennessee TitansVCincinnati Bengals,CIN,Auden Tate,WR,0,0,0,0,7,0,65,0,0,0,0,0,0,0,0,0,0,0,10.0
2020,8,Tennessee TitansVCincinnati Bengals,CIN,Samaje Perine,RB,0,0,1,32,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9.9
2020,8,Tennessee TitansVCincinnati Bengals,CIN,Randy Bullock,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7.0
2020,8,Tennessee TitansVCincinnati Bengals,TEN,Jeremy McNichols,RB,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,8,Tennessee TitansVCincinnati Bengals,TEN,Anthony Firkser,TE,0,0,0,0,2,0,36,0,0,0,0,0,0,0,0,0,0,0,4.6
2020,8,Tennessee TitansVCincinnati Bengals,TEN,Jonnu Smith,TE,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,8,Tennessee TitansVCincinnati Bengals,TEN,D'Onta Foreman,RB,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,8,Tennessee TitansVCincinnati Bengals,CIN,A.J. Green,WR,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,8,Tennessee TitansVCincinnati Bengals,TEN,Stephen Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2020,8,Tennessee TitansVCincinnati Bengals,TEN,Kalif Raymond,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,8,Tennessee TitansVCincinnati Bengals,TEN,Khari Blasingame,RB,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,8,Tennessee TitansVCincinnati Bengals,CIN,Cethan Carter,TE,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,8,Tennessee TitansVCincinnati Bengals,TEN,MyCole Pruitt,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Tennessee TitansVCincinnati Bengals,TEN,Adam Humphries,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Tennessee TitansVCincinnati Bengals,CIN,Drew Sample,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Tennessee TitansVCincinnati Bengals,CIN,Brandon Wilson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
