Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,9,Carolina PanthersVKansas City Chiefs,CAR,Christian McCaffrey,RB,0,0,1,69,10,1,82,0,0,0,0,0,0,0,0,0,0,0,32.1
2020,9,Carolina PanthersVKansas City Chiefs,KAN,Patrick Mahomes,QB,4,372,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.48
2020,9,Carolina PanthersVKansas City Chiefs,KAN,Tyreek Hill,WR,0,0,0,8,9,2,113,0,0,0,0,0,0,0,0,0,0,0,28.6
2020,9,Carolina PanthersVKansas City Chiefs,CAR,Teddy Bridgewater,QB,2,310,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3
2020,9,Carolina PanthersVKansas City Chiefs,CAR,Curtis Samuel,WR,0,0,0,13,9,1,105,0,0,0,0,0,0,0,0,0,0,0,22.3
2020,9,Carolina PanthersVKansas City Chiefs,KAN,Travis Kelce,TE,0,0,0,0,10,0,159,0,0,0,0,0,0,0,0,0,0,0,20.9
2020,9,Carolina PanthersVKansas City Chiefs,KAN,Harrison Butker,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,11.0
2020,9,Carolina PanthersVKansas City Chiefs,KAN,Clyde Edwards-Helaire,RB,0,0,0,14,3,1,20,0,0,0,0,0,0,0,0,0,0,0,10.9
2020,9,Carolina PanthersVKansas City Chiefs,CAR,Robby Anderson,WR,0,0,0,0,9,0,63,0,0,0,0,0,0,0,0,0,0,0,10.8
2020,9,Carolina PanthersVKansas City Chiefs,KAN,Demarcus Robinson,WR,0,0,0,0,3,1,34,0,1,0,0,0,0,0,0,0,0,0,8.9
2020,9,Carolina PanthersVKansas City Chiefs,CAR,Joey Slye,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,8.0
2020,9,Carolina PanthersVKansas City Chiefs,KAN,Mecole Hardman,WR,0,0,0,0,3,0,48,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,9,Carolina PanthersVKansas City Chiefs,CAR,Mike Davis,RB,0,0,0,3,5,0,34,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,9,Carolina PanthersVKansas City Chiefs,CAR,Brandon Zylstra,WR,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,3.3
2020,9,Carolina PanthersVKansas City Chiefs,CAR,D.J. Moore,WR,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,2.8
2020,9,Carolina PanthersVKansas City Chiefs,CAR,Ian Thomas,TE,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,9,Carolina PanthersVKansas City Chiefs,CAR,Joseph Charlton,,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12
2020,9,Carolina PanthersVKansas City Chiefs,KAN,Le'Veon Bell,RB,0,0,0,8,1,0,-5,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,9,Carolina PanthersVKansas City Chiefs,KAN,Darrel Williams,RB,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,9,Carolina PanthersVKansas City Chiefs,CAR,Pharoh Cooper,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
