Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,9,Detroit LionsVMinnesota Vikings,MIN,Dalvin Cook,RB,0,0,2,206,2,0,46,0,0,0,0,0,0,0,0,0,0,0,38.2
2020,9,Detroit LionsVMinnesota Vikings,MIN,Kirk Cousins,QB,3,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8
2020,9,Detroit LionsVMinnesota Vikings,MIN,Irv Smith Jr.,te,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,14.0
2020,9,Detroit LionsVMinnesota Vikings,DET,T.J. Hockenson,TE,0,0,0,0,5,1,39,0,0,0,0,0,0,0,0,0,0,0,12.4
2020,9,Detroit LionsVMinnesota Vikings,DET,Marvin Jones,WR,0,0,0,0,3,1,43,0,0,0,0,0,0,0,0,0,0,0,11.8
2020,9,Detroit LionsVMinnesota Vikings,DET,Danny Amendola,wr,0,0,0,2,7,0,77,0,0,0,0,0,0,0,0,0,0,0,11.4
2020,9,Detroit LionsVMinnesota Vikings,DET,D'Andre Swift,RB,0,0,0,64,3,0,33,0,0,0,0,0,0,0,0,0,0,0,11.2
2020,9,Detroit LionsVMinnesota Vikings,DET,Matthew Stafford,QB,1,211,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.44
2020,9,Detroit LionsVMinnesota Vikings,DET,Matt Prater,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,9.0
2020,9,Detroit LionsVMinnesota Vikings,MIN,Ameer Abdullah,RB,0,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,8.7
2020,9,Detroit LionsVMinnesota Vikings,DET,Kerryon Johnson,RB,0,0,0,29,3,0,36,0,0,0,0,0,0,0,0,0,0,0,8.0
2020,9,Detroit LionsVMinnesota Vikings,MIN,Justin Jefferson,WR,0,0,0,0,3,0,64,0,0,0,0,0,0,0,0,0,0,0,7.9
2020,9,Detroit LionsVMinnesota Vikings,DET,Chase Daniel,QB,1,94,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.26
2020,9,Detroit LionsVMinnesota Vikings,MIN,Alexander Mattison,RB,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,9,Detroit LionsVMinnesota Vikings,DET,Adrian Peterson,RB,0,0,0,29,3,0,14,0,0,0,0,0,0,0,0,0,0,0,5.8
2020,9,Detroit LionsVMinnesota Vikings,MIN,Kyle Rudolph,TE,0,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,9,Detroit LionsVMinnesota Vikings,MIN,Adam Thielen,WR,0,0,0,0,2,0,38,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,9,Detroit LionsVMinnesota Vikings,DET,Marvin Hall,WR,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,9,Detroit LionsVMinnesota Vikings,DET,Quintez Cephus,WR,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0,0,0,0,4.1
2020,9,Detroit LionsVMinnesota Vikings,MIN,Dan Bailey,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2020,9,Detroit LionsVMinnesota Vikings,DET,Jason Cabinda,ILB,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,9,Detroit LionsVMinnesota Vikings,DET,Jesse James,TE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2020,9,Detroit LionsVMinnesota Vikings,MIN,K.J. Osborn,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,9,Detroit LionsVMinnesota Vikings,MIN,Chad Beebe,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
