Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,9,Houston TexansVJacksonville Jaguars,HOU,Deshaun Watson,QB,2,281,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.24
2020,9,Houston TexansVJacksonville Jaguars,JAX,DJ Chark,WR,0,0,0,0,7,1,146,0,0,0,0,0,0,0,0,0,0,0,24.1
2020,9,Houston TexansVJacksonville Jaguars,JAX,Jake Luton,QB,1,304,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.46
2020,9,Houston TexansVJacksonville Jaguars,HOU,Will Fuller,WR,0,0,0,0,5,1,100,0,0,0,0,0,0,0,0,0,0,0,18.5
2020,9,Houston TexansVJacksonville Jaguars,JAX,James Robinson,RB,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9
2020,9,Houston TexansVJacksonville Jaguars,HOU,Brandin Cooks,WR,0,0,0,0,3,1,83,0,0,0,0,0,0,0,0,0,0,0,15.8
2020,9,Houston TexansVJacksonville Jaguars,HOU,Duke Johnson,rb,0,0,1,41,4,0,32,0,1,0,0,0,0,0,0,0,0,0,13.3
2020,9,Houston TexansVJacksonville Jaguars,HOU,Ka'imi Fairbairn,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,11.0
2020,9,Houston TexansVJacksonville Jaguars,JAX,Josh Lambo,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,9.0
2020,9,Houston TexansVJacksonville Jaguars,JAX,Chris Conley,WR,0,0,0,0,7,0,52,0,0,0,0,0,0,0,0,0,0,0,8.7
2020,9,Houston TexansVJacksonville Jaguars,JAX,Tyler Eifert,TE,0,0,0,0,4,0,48,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,9,Houston TexansVJacksonville Jaguars,JAX,Chris Thompson,RB,0,0,0,3,4,0,35,0,0,0,0,0,0,0,0,0,0,0,5.8
2020,9,Houston TexansVJacksonville Jaguars,HOU,Randall Cobb,WR,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,9,Houston TexansVJacksonville Jaguars,HOU,Darren Fells,TE,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,9,Houston TexansVJacksonville Jaguars,HOU,Jordan Akins,te,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,9,Houston TexansVJacksonville Jaguars,HOU,David Johnson,RB,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,9,Houston TexansVJacksonville Jaguars,JAX,Collin Johnson,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,9,Houston TexansVJacksonville Jaguars,JAX,James O'Shaughnessy,TE,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,9,Houston TexansVJacksonville Jaguars,JAX,Keelan Cole,wr,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,9,Houston TexansVJacksonville Jaguars,JAX,Laviska Shenault Jr.,WR,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,9,Houston TexansVJacksonville Jaguars,HOU,Pharaoh Brown,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,9,Houston TexansVJacksonville Jaguars,HOU,DeAndre Carter,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,9,Houston TexansVJacksonville Jaguars,JAX,Chris Claybrooks,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
