Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Justin Herbert,QB,2,326,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.44
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Keenan Allen,WR,0,0,0,0,9,1,103,0,0,0,0,0,0,0,0,0,0,0,20.8
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Kalen Ballage,RB,0,0,1,69,2,0,15,0,0,0,0,0,0,0,0,0,0,0,15.4
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Derek Carr,QB,2,165,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Josh Jacobs,RB,0,0,1,65,1,0,3,0,0,0,0,0,0,0,0,0,0,0,13.3
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Devontae Booker,RB,0,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Nelson Agholor,WR,0,0,0,0,2,1,55,0,0,0,0,0,0,0,0,0,0,0,12.5
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Darren Waller,TE,0,0,0,0,5,1,22,0,0,0,0,0,0,0,0,0,0,0,10.7
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Mike Williams,WR,0,0,0,0,5,0,81,0,0,0,0,0,0,0,0,0,0,0,10.6
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Michael Badgley,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,9.0
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Joshua Kelley,RB,0,0,0,28,5,0,31,0,0,0,0,0,0,0,0,0,0,0,8.4
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Hunter Renfrow,wr,0,0,0,0,2,0,60,0,0,0,0,0,0,0,0,0,0,0,7.0
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Daniel Carlson,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7.0
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Gabe Nabers,fb,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Tyron Johnson,WR,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Hunter Henry,TE,0,0,0,0,4,0,33,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Jalen Richard,RB,0,0,0,3,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Jalen Guyton,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Alec Ingold,FB,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Henry Ruggs III,WR,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Joe Reed,WR,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,9,Las Vegas RaidersVLos Angeles Chargers,LVR,Jason Witten,TE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,Donald Parham,te,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,9,Las Vegas RaidersVLos Angeles Chargers,LAC,K.J. Hill,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
