Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,9,Miami DolphinsVArizona Cardinals,ARI,Kyler Murray,QB,3,283,1,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.92
2020,9,Miami DolphinsVArizona Cardinals,MIA,Tua Tagovailoa,QB,2,248,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.42
2020,9,Miami DolphinsVArizona Cardinals,ARI,Christian Kirk,WR,0,0,0,0,5,1,123,0,0,0,0,0,0,0,0,0,0,0,20.8
2020,9,Miami DolphinsVArizona Cardinals,MIA,Preston Williams,WR,0,0,0,0,4,1,60,0,0,0,0,0,0,0,0,0,0,0,14.0
2020,9,Miami DolphinsVArizona Cardinals,MIA,Jason Sanders,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,14.0
2020,9,Miami DolphinsVArizona Cardinals,ARI,Chase Edmonds,RB,0,0,0,70,3,0,18,0,0,0,0,0,0,0,0,0,0,0,10.3
2020,9,Miami DolphinsVArizona Cardinals,MIA,DeVante Parker,WR,0,0,0,0,6,0,64,0,0,0,0,0,0,0,0,0,0,0,9.4
2020,9,Miami DolphinsVArizona Cardinals,ARI,Darrell Daniels,TE,0,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,9,Miami DolphinsVArizona Cardinals,MIA,Jordan Howard,RB,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9
2020,9,Miami DolphinsVArizona Cardinals,MIA,Mack Hollins,WR,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,7.6
2020,9,Miami DolphinsVArizona Cardinals,ARI,Larry Fitzgerald,WR,0,0,0,0,4,0,54,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,9,Miami DolphinsVArizona Cardinals,ARI,Zane Gonzalez,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7.0
2020,9,Miami DolphinsVArizona Cardinals,ARI,Maxx Williams,TE,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,9,Miami DolphinsVArizona Cardinals,MIA,Mike Gesicki,TE,0,0,0,0,3,0,42,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,9,Miami DolphinsVArizona Cardinals,MIA,Jakeem Grant,WR,0,0,0,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,9,Miami DolphinsVArizona Cardinals,ARI,DeAndre Hopkins,WR,0,0,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,4.5
2020,9,Miami DolphinsVArizona Cardinals,MIA,Salvon Ahmed,RB,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,9,Miami DolphinsVArizona Cardinals,MIA,Durham Smythe,TE,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,9,Miami DolphinsVArizona Cardinals,MIA,Patrick Laird,RB,0,0,0,-1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,9,Miami DolphinsVArizona Cardinals,ARI,Dan Arnold,te,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,9,Miami DolphinsVArizona Cardinals,ARI,Andy Isabella,WR,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,9,Miami DolphinsVArizona Cardinals,ARI,D.J. Foster,RB,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,9,Miami DolphinsVArizona Cardinals,MIA,Adam Shaheen,te,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,9,Miami DolphinsVArizona Cardinals,MIA,Malcolm Perry,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,9,Miami DolphinsVArizona Cardinals,MIA,Noah Igbinoghene,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
