Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,1,Chicago BearsVLos Angeles Rams,CHI,Andy Dalton,DaltAn00,QB,0,206,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.54
2021,1,Chicago BearsVLos Angeles Rams,CHI,Justin Fields,FielJu00,,0,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7
2021,1,Chicago BearsVLos Angeles Rams,CHI,David Montgomery,MontDa01,RB,0,0,1,108,1,0,10,0,0,0,0,0,0,0,0,0,0,0,18.3
2021,1,Chicago BearsVLos Angeles Rams,CHI,Damien Williams,WillDa05,,0,0,0,12,4,0,28,0,0,0,0,0,0,0,0,0,0,0,6.0
2021,1,Chicago BearsVLos Angeles Rams,CHI,Cole Kmet,KmetCo00,TE,0,0,0,0,5,0,42,0,0,0,0,0,0,0,0,0,0,0,6.7
2021,1,Chicago BearsVLos Angeles Rams,CHI,Allen Robinson,RobiAl02,WR,0,0,0,0,6,0,35,0,0,0,0,0,0,0,0,0,0,0,6.5
2021,1,Chicago BearsVLos Angeles Rams,CHI,Darnell Mooney,MoonDa00,WR,0,0,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,5.1
2021,1,Chicago BearsVLos Angeles Rams,CHI,Damiere Byrd,ByrdDa00,WR,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,3.4
2021,1,Chicago BearsVLos Angeles Rams,CHI,Jimmy Graham,GrahJi00,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2021,1,Chicago BearsVLos Angeles Rams,CHI,Marquise Goodwin,GoodMa00,,0,0,0,-2,4,0,45,0,0,0,0,0,0,0,0,0,0,0,6.3
2021,1,Chicago BearsVLos Angeles Rams,LAR,Matthew Stafford,StafMa00,QB,3,321,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.34
2021,1,Chicago BearsVLos Angeles Rams,LAR,Darrell Henderson,HendDa00,RB,0,0,1,70,1,0,17,0,0,0,0,0,0,0,0,0,0,0,15.2
2021,1,Chicago BearsVLos Angeles Rams,LAR,Robert Woods,WoodRo02,WR,0,0,0,7,3,1,27,0,0,0,0,0,0,0,0,0,0,0,10.9
2021,1,Chicago BearsVLos Angeles Rams,LAR,Sony Michel,MichSo00,rb,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2021,1,Chicago BearsVLos Angeles Rams,LAR,Cooper Kupp,KuppCo00,WR,0,0,0,0,7,1,108,0,0,0,0,0,0,0,0,0,0,0,20.3
2021,1,Chicago BearsVLos Angeles Rams,LAR,Van Jefferson,JeffVa00,WR,0,0,0,0,2,1,80,0,0,0,0,0,0,0,0,0,0,0,15.0
2021,1,Chicago BearsVLos Angeles Rams,LAR,Tyler Higbee,HigbTy00,TE,0,0,0,0,5,0,68,0,0,0,0,0,0,0,0,0,0,0,9.3
2021,1,Chicago BearsVLos Angeles Rams,LAR,DeSean Jackson,JackDe00,wr,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2021,1,Chicago BearsVLos Angeles Rams,CHI,Nsimba Webster,WebsNs00,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,1,Chicago BearsVLos Angeles Rams,CHI,Khalil Herbert,HerbKh00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,1,Chicago BearsVLos Angeles Rams,CHI,Cairo Santos,SantCa01,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2021,1,Chicago BearsVLos Angeles Rams,LAR,Matt Gay,GayxMa00,K,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,12.0
