Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Aaron Rodgers,RodgAa00,QB,0,133,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3.32
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Jordan Love,LoveJo03,,0,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72
2021,1,Green Bay PackersVNew Orleans Saints,GNB,AJ Dillon,DillAJ00,RB,0,0,0,19,1,0,7,0,0,0,0,0,0,0,0,0,0,0,3.1
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Kylin Hill,HillKy00,,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Aaron Jones,JoneAa00,RB,0,0,0,9,2,0,13,0,0,0,0,0,0,0,0,0,0,0,3.2
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Randall Cobb,CobbRa00,WR,0,0,0,1,1,0,32,0,0,0,0,0,0,0,0,0,0,0,3.8
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Davante Adams,AdamDa01,WR,0,0,0,0,5,0,56,0,0,0,0,0,0,0,0,0,0,0,8.1
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Amari Rodgers,RodgAm00,,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Marcedes Lewis,LewiMa00,TE,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Marquez Valdes-Scantling,ValdMa00,WR,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3.2
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Allen Lazard,LazaAl00,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Malik Taylor,TaylMa01,WR,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2.4
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Robert Tonyan,TonyRo00,TE,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1.8
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Jameis Winston,WinsJa00,QBThrows:Right,5,148,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.62
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Taysom Hill,HillTa00,WR,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Alvin Kamara,KamaAl00,RB,0,0,0,83,3,1,8,0,0,0,0,0,0,0,0,0,0,0,16.6
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Tony Jones,JoneTo04,RB,0,0,0,50,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5.8
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Deonte Harris,HarrDe07,WR,0,0,0,0,2,1,72,0,0,0,0,0,0,0,0,0,0,0,14.2
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Juwan Johnson,JohnJu02,WR,0,0,0,0,3,2,21,0,0,0,0,0,0,0,0,0,0,0,15.6
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Adam Trautman,TrauAd00,te,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,3.3
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Marquez Callaway,CallMa01,WR,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Chris Hogan,HogaCh00,WR,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,7.5
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Ty Montgomery,MontTy01,WR/RB,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2021,1,Green Bay PackersVNew Orleans Saints,GNB,Mason Crosby,CrosMa20,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2021,1,Green Bay PackersVNew Orleans Saints,NOR,Aldrick Rosas,RosaAl00,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,9.0
