Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,1,Philadelphia EaglesVAtlanta Falcons,PHI,Jalen Hurts,HurtJa00,QBThrows:Right,3,264,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.76
2021,1,Philadelphia EaglesVAtlanta Falcons,PHI,Miles Sanders,SandMi01,RB,0,0,0,74,4,0,39,0,0,0,0,0,0,0,0,0,0,1,15.3
2021,1,Philadelphia EaglesVAtlanta Falcons,PHI,Kenneth Gainwell,GainKe00,,0,0,1,37,2,0,6,0,0,0,0,0,0,0,0,0,0,0,11.3
2021,1,Philadelphia EaglesVAtlanta Falcons,PHI,DeVonta Smith,SmitDe07,,0,0,0,0,6,1,71,0,0,0,0,0,0,0,0,0,0,0,16.1
2021,1,Philadelphia EaglesVAtlanta Falcons,PHI,Jalen Reagor,ReagJa00,WR,0,0,0,0,6,1,49,0,0,0,0,0,0,0,0,0,0,0,13.9
2021,1,Philadelphia EaglesVAtlanta Falcons,PHI,Dallas Goedert,GoedDa00,TE,0,0,0,0,4,1,42,0,0,0,0,0,0,0,0,0,0,0,12.2
2021,1,Philadelphia EaglesVAtlanta Falcons,PHI,Zach Ertz,ErtzZa00,TE,0,0,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0,4.4
2021,1,Philadelphia EaglesVAtlanta Falcons,PHI,Quez Watkins,WatkQu00,WR,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,3.8
2021,1,Philadelphia EaglesVAtlanta Falcons,ATL,Matt Ryan,RyanMa00,QB,0,164,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36
2021,1,Philadelphia EaglesVAtlanta Falcons,ATL,Cordarrelle Patterson,PattCo00,WR,0,0,0,54,2,0,13,0,0,0,0,0,0,0,0,0,0,0,7.7
2021,1,Philadelphia EaglesVAtlanta Falcons,ATL,Mike Davis,DaviMi01,RB,0,0,0,49,3,0,23,0,0,0,0,0,0,0,0,0,0,0,8.7
2021,1,Philadelphia EaglesVAtlanta Falcons,ATL,Keith Smith,SmitKe03,FB,0,0,0,13,3,0,18,0,0,0,0,0,0,0,0,0,0,0,4.6
2021,1,Philadelphia EaglesVAtlanta Falcons,ATL,Calvin Ridley,RidlCa00,WR,0,0,0,0,5,0,51,0,0,0,0,0,0,0,0,0,0,0,7.6
2021,1,Philadelphia EaglesVAtlanta Falcons,ATL,Kyle Pitts,PittKy00,,0,0,0,0,4,0,31,0,0,0,0,0,0,0,0,0,0,0,5.1
2021,1,Philadelphia EaglesVAtlanta Falcons,ATL,Hayden Hurst,HursHa00,TE,0,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,4.8
2021,1,Philadelphia EaglesVAtlanta Falcons,ATL,Russell Gage,GageRu00,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,1,Philadelphia EaglesVAtlanta Falcons,ATL,Avery Williams,WillAv02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,1,Philadelphia EaglesVAtlanta Falcons,PHI,Jake Elliott,ElliJa03,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7.0
2021,1,Philadelphia EaglesVAtlanta Falcons,ATL,Younghoe Koo,KooxYo00,K,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6.0
