Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,Russell Wilson,WilsRu00,QB,4,254,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.06
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,Chris Carson,CarsCh00,RB,0,0,0,91,3,0,26,0,1,0,0,0,0,0,0,0,0,0,11.2
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,D'Wayne Eskridge,EskrDW00,,0,0,0,22,1,0,6,0,0,0,0,0,0,0,0,0,0,0,3.3
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,Rashaad Penny,PennRa00,RB,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,DeeJay Dallas,DallDe00,RB,0,0,0,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.5
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,Freddie Swain,SwaiFr00,WR,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,Tyler Lockett,LockTy00,WR,0,0,0,0,4,2,100,0,0,0,0,0,0,0,0,0,0,0,24.0
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,D.K. Metcalf,MetcDK00,WR,0,0,0,0,4,1,60,0,0,0,0,0,0,0,0,0,0,0,14.0
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,Will Dissly,DissWi00,TE,0,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,5.2
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,Gerald Everett,EverGe00,te,0,0,0,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,9.0
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Carson Wentz,WentCa00,QB,2,251,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.34
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Jonathan Taylor,TaylJo02,RB,0,0,0,56,6,0,60,0,0,0,0,0,0,0,0,0,0,0,14.6
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Nyheim Hines,HineNy00,RB,0,0,0,34,6,0,48,0,0,0,0,0,0,0,0,0,0,0,11.2
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Zach Pascal,PascZa00,WR,0,0,0,0,4,2,43,0,0,0,0,0,0,0,0,0,0,0,18.3
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Michael Pittman Jr.,PittMi01,WR,0,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,4.4
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Mike Strachan,StraMi03,,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,3.6
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Parris Campbell,CampPa00,WR,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,2.9
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Jack Doyle,DoylJa00,TE,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,3.6
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Mo Alie-Cox,AlieMo00,te,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Isaiah Rodgers,RodgIs00,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,1,Seattle SeahawksVIndianapolis Colts,SEA,Jason Myers,MyerJa00,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2021,1,Seattle SeahawksVIndianapolis Colts,IND,Rodrigo Blankenship,BlanRo03,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.0
