Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Matt Ryan,RyanMa00,,2,300,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,19.3
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Josh Rosen,RoseJo01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Mike Davis,DaviMi01,,0,0,0,38,7,0,25,0,0,0,0,0,0,0,0,0,0,0,9.8
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Cordarrelle Patterson,PattCo00,,0,0,1,11,5,1,58,0,0,0,0,0,0,0,0,0,0,0,21.4
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Keith Smith,SmitKe03,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Kyle Pitts,PittKy00,,0,0,0,0,5,0,73,0,0,0,0,0,0,0,0,0,0,0,9.8
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Calvin Ridley,RidlCa00,,0,0,0,0,7,1,63,0,0,0,0,0,0,0,0,0,0,0,15.8
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Russell Gage,GageRu00,,0,0,0,0,5,0,28,0,0,0,0,0,0,0,0,0,0,0,5.3
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Olamide Zaccheaus,ZaccOl01,,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,3.2
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Lee Smith,SmitLe00,,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Christian Blake,BlakCh00,,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Tajae Sharpe,SharTa00,,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Hayden Hurst,HursHa00,,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2021,2,Atlanta FalconsVTampa Bay Buccaneers,ATL,Parker Hesse,HessPa00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Tom Brady,BradTo00,,5,276,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.64
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Leonard Fournette,FourLe00,,0,0,0,52,4,0,24,0,0,0,0,0,0,0,0,0,0,0,9.6
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Ronald Jones II,JoneRo01,,0,0,0,27,1,0,9,0,0,0,0,0,0,0,0,0,0,0,4.1
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Mike Evans,EvanMi00,,0,0,0,0,5,2,75,0,0,0,0,0,0,0,0,0,0,0,22.0
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Chris Godwin,GodwCh00,,0,0,0,0,4,1,62,0,0,0,0,0,0,0,0,0,0,0,14.2
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Rob Gronkowski,GronRo00,,0,0,0,0,4,2,39,0,0,0,0,0,0,0,0,0,0,0,17.9
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,O.J. Howard,HowaO.00,,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,2.6
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Antonio Brown,BrowAn04,,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2.2
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Giovani Bernard,BernGi00,,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Cameron Brate,BratCa00,,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Tyler Johnson,JohnTy00,,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2021,2,Atlanta FalconsVTampa Bay Buccaneers,TAM,Blaine Gabbert,GabbBl00,,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3
