Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,2,Buffalo BillsVMiami Dolphins,BUF,Josh Allen,AlleJo02,,2,179,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.66
2021,2,Buffalo BillsVMiami Dolphins,BUF,Devin Singletary,SingDe00,,0,0,1,82,2,0,9,0,0,0,0,0,0,0,0,0,0,0,16.1
2021,2,Buffalo BillsVMiami Dolphins,BUF,Zack Moss,MossZa00,,0,0,2,26,2,0,8,0,1,0,0,0,0,0,0,0,0,0,14.4
2021,2,Buffalo BillsVMiami Dolphins,BUF,Reggie Gilliam,GillRe00,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2021,2,Buffalo BillsVMiami Dolphins,BUF,Stefon Diggs,DiggSt00,,0,0,0,0,4,1,60,0,0,0,0,0,0,0,0,0,0,0,14.0
2021,2,Buffalo BillsVMiami Dolphins,BUF,Emmanuel Sanders,SandEm00,,0,0,0,0,2,0,48,0,0,0,0,0,0,0,0,0,0,0,5.8
2021,2,Buffalo BillsVMiami Dolphins,BUF,Cole Beasley,BeasCo00,,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,0,0,0,5.6
2021,2,Buffalo BillsVMiami Dolphins,BUF,Dawson Knox,KnoxDa00,,0,0,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,8.7
2021,2,Buffalo BillsVMiami Dolphins,BUF,Isaiah McKenzie,McKeIs00,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6
2021,2,Buffalo BillsVMiami Dolphins,BUF,Jake Kumerow,KumeJa00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Buffalo BillsVMiami Dolphins,BUF,Mitchell Trubisky,TrubMi00,,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
2021,2,Buffalo BillsVMiami Dolphins,MIA,Jacoby Brissett,BrisJa00,,0,169,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.56
2021,2,Buffalo BillsVMiami Dolphins,MIA,Tua Tagovailoa,TagoTu00,,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52
2021,2,Buffalo BillsVMiami Dolphins,MIA,Myles Gaskin,GaskMy00,,0,0,0,25,4,0,21,0,0,0,0,0,0,0,0,0,0,0,6.6
2021,2,Buffalo BillsVMiami Dolphins,MIA,Malcolm Brown,BrowMa03,,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
2021,2,Buffalo BillsVMiami Dolphins,MIA,Salvon Ahmed,AhmeSa01,,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
2021,2,Buffalo BillsVMiami Dolphins,MIA,Jaylen Waddle,WaddJa00,,0,0,0,0,6,0,48,0,1,0,0,0,0,0,0,0,0,0,5.8
2021,2,Buffalo BillsVMiami Dolphins,MIA,DeVante Parker,ParkDe01,,0,0,0,0,5,0,42,0,0,0,0,0,0,0,0,0,0,0,6.7
2021,2,Buffalo BillsVMiami Dolphins,MIA,Mike Gesicki,GesiMi00,,0,0,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,5.6
2021,2,Buffalo BillsVMiami Dolphins,MIA,Albert Wilson,WilsAl02,,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,4.0
2021,2,Buffalo BillsVMiami Dolphins,MIA,Cethan Carter,CartCe00,,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2021,2,Buffalo BillsVMiami Dolphins,MIA,Preston Williams,WillPr01,,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2021,2,Buffalo BillsVMiami Dolphins,MIA,Jakeem Grant,GranJa00,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.5
2021,2,Buffalo BillsVMiami Dolphins,BUF,Tyler Bass,BassTy00,,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5.0
