Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,2,Cincinnati BengalsVChicago Bears,CIN,Joe Burrow,BurrJo01,,2,207,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13.28
2021,2,Cincinnati BengalsVChicago Bears,CIN,Joe Mixon,MixoJo00,,0,0,0,69,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7.6
2021,2,Cincinnati BengalsVChicago Bears,CIN,Tyler Boyd,BoydTy00,,0,0,0,0,7,0,73,0,0,0,0,0,0,0,0,0,0,0,10.8
2021,2,Cincinnati BengalsVChicago Bears,CIN,Tee Higgins,HiggTe00,,0,0,0,0,6,1,60,0,1,0,0,0,0,0,0,0,0,0,13.0
2021,2,Cincinnati BengalsVChicago Bears,CIN,Ja'Marr Chase,ChasJa00,,0,0,0,0,2,1,54,0,0,0,0,0,0,0,0,0,0,0,12.4
2021,2,Cincinnati BengalsVChicago Bears,CIN,Chris Evans,EvanCh02,,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2021,2,Cincinnati BengalsVChicago Bears,CIN,C.J. Uzomah,UzomC.00,,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1.4
2021,2,Cincinnati BengalsVChicago Bears,CIN,Samaje Perine,PeriSa00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Cincinnati BengalsVChicago Bears,CHI,Justin Fields,FielJu00,,0,60,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5
2021,2,Cincinnati BengalsVChicago Bears,CHI,Andy Dalton,DaltAn00,,1,56,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74
2021,2,Cincinnati BengalsVChicago Bears,CHI,David Montgomery,MontDa01,,0,0,0,61,3,0,18,0,0,0,0,0,0,0,0,0,0,0,9.4
2021,2,Cincinnati BengalsVChicago Bears,CHI,Damien Williams,WillDa05,,0,0,0,6,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,1.4
2021,2,Cincinnati BengalsVChicago Bears,CHI,Darnell Mooney,MoonDa00,,0,0,0,0,6,0,66,0,0,0,0,0,0,0,0,0,0,0,9.6
2021,2,Cincinnati BengalsVChicago Bears,CHI,Allen Robinson,RobiAl02,,0,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,9.4
2021,2,Cincinnati BengalsVChicago Bears,CHI,Marquise Goodwin,GoodMa00,,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2021,2,Cincinnati BengalsVChicago Bears,CHI,Cole Kmet,KmetCo00,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2021,2,Cincinnati BengalsVChicago Bears,CIN,Darius Phillips,PhilDa02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Cincinnati BengalsVChicago Bears,CIN,Brandon Wilson,WilsBr01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Cincinnati BengalsVChicago Bears,CIN,Evan McPherson,McPhEv00,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7.0
2021,2,Cincinnati BengalsVChicago Bears,CHI,Cairo Santos,SantCa01,,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8.0
