Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,2,Dallas CowboysVLos Angeles Chargers,DAL,Dak Prescott,PresDa01,,0,237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.48
2021,2,Dallas CowboysVLos Angeles Chargers,DAL,Tony Pollard,PollTo00,,0,0,1,109,3,0,31,0,0,0,0,0,0,0,0,0,0,0,21.5
2021,2,Dallas CowboysVLos Angeles Chargers,DAL,Ezekiel Elliott,ElliEz00,,0,0,1,71,2,0,26,0,0,0,0,0,0,0,0,0,0,0,16.7
2021,2,Dallas CowboysVLos Angeles Chargers,DAL,CeeDee Lamb,LambCe00,,0,0,0,13,8,0,81,0,0,0,0,0,0,0,0,0,0,0,13.4
2021,2,Dallas CowboysVLos Angeles Chargers,DAL,Cedrick Wilson Jr.,WilsCe01,,0,0,0,5,2,0,20,0,0,0,0,0,0,0,0,0,0,0,3.5
2021,2,Dallas CowboysVLos Angeles Chargers,DAL,Blake Jarwin,JarwBl00,,0,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,5.2
2021,2,Dallas CowboysVLos Angeles Chargers,DAL,Amari Cooper,CoopAm00,,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,3.9
2021,2,Dallas CowboysVLos Angeles Chargers,DAL,Dalton Schultz,SchuDa00,,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,2.8
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Justin Herbert,HerbJu00,,1,338,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16.72
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Austin Ekeler,EkelAu00,,0,0,0,54,9,0,61,0,0,0,0,0,0,0,0,0,0,1,18.0
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Justin Jackson,JackJu01,,0,0,0,21,1,0,8,0,0,0,0,0,0,0,0,0,0,0,3.4
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Jalen Guyton,GuytJa01,,0,0,0,9,2,0,13,0,0,0,0,0,0,0,0,0,0,0,3.2
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Keenan Allen,AlleKe00,,0,0,0,0,4,0,108,0,0,0,0,0,0,0,0,0,0,0,12.8
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Mike Williams,WillMi07,,0,0,0,0,7,1,91,0,0,0,0,0,0,0,0,0,0,0,18.6
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Jared Cook,CookJa02,,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,4.3
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Josh Palmer,PalmJo00,,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Stephen Anderson,AndeSt01,,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,1.9
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Larry Rountree,RounLa00,,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.3
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,K.J. Hill,HillKJ00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Dallas CowboysVLos Angeles Chargers,DAL,Greg Zuerlein,ZuerGr00,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,10.0
2021,2,Dallas CowboysVLos Angeles Chargers,LAC,Tristan Vizcaino,VizcTr00,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10.0
