Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Teddy Bridgewater,BridTe00,,2,328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.22
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Javonte Williams,WillJa10,,0,0,0,64,1,0,10,0,0,0,0,0,0,0,0,0,0,0,7.9
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Melvin Gordon,GordMe00,,0,0,0,31,2,0,38,0,0,0,0,0,0,0,0,0,0,0,7.9
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Courtland Sutton,SuttCo00,,0,0,0,0,9,0,159,0,0,0,0,0,0,0,0,0,0,0,20.4
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Tim Patrick,PatrTi00,,0,0,0,0,3,1,37,0,0,0,0,0,0,0,0,0,0,0,11.2
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Noah Fant,FantNo00,,0,0,0,0,4,1,33,0,0,0,0,0,0,0,0,0,0,0,11.3
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Albert Okwuegbunam,OkwuAl00,,0,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,4.4
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Kendall Hinton,HintKe00,,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,2.0
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Eric Saubert,SaubEr00,,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2021,2,Denver BroncosVJacksonville Jaguars,DEN,KJ Hamler,HamlKJ00,,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2021,2,Denver BroncosVJacksonville Jaguars,JAX,Trevor Lawrence,LawrTr00,,1,118,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8.82
2021,2,Denver BroncosVJacksonville Jaguars,JAX,James Robinson,RobiJa00,,0,0,0,47,3,0,17,0,0,0,0,0,0,0,0,0,0,0,7.9
2021,2,Denver BroncosVJacksonville Jaguars,JAX,Carlos Hyde,HydeCa00,,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
2021,2,Denver BroncosVJacksonville Jaguars,JAX,Marvin Jones,JoneMa02,,0,0,0,0,6,1,55,0,0,0,0,0,0,0,0,0,0,0,14.5
2021,2,Denver BroncosVJacksonville Jaguars,JAX,James O'Shaughnessy,O'ShJa00,,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,2.9
2021,2,Denver BroncosVJacksonville Jaguars,JAX,DJ Chark,CharDJ00,,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2021,2,Denver BroncosVJacksonville Jaguars,JAX,Luke Farrell,FarrLu00,,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2021,2,Denver BroncosVJacksonville Jaguars,JAX,Chris Manhertz,ManhCh00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Denver BroncosVJacksonville Jaguars,JAX,Tyron Johnson,JohnTy03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Denver BroncosVJacksonville Jaguars,JAX,Laquon Treadwell,TreaLa00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Denver BroncosVJacksonville Jaguars,JAX,Laviska Shenault Jr.,ShenLa00,,0,0,0,0,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0.7
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Diontae Spencer,SpenDi00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Denver BroncosVJacksonville Jaguars,JAX,Jamal Agnew,AgneJa00,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0
2021,2,Denver BroncosVJacksonville Jaguars,DEN,Brandon McManus,McMaBr01,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,13.0
2021,2,Denver BroncosVJacksonville Jaguars,JAX,Josh Lambo,LambJo00,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
