Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,2,New York GiantsVWashington Football Team,NYG,Daniel Jones,JoneDa05,,1,249,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.46
2021,2,New York GiantsVWashington Football Team,NYG,Saquon Barkley,BarkSa00,,0,0,0,57,2,0,12,0,0,0,0,0,0,0,0,0,0,0,7.9
2021,2,New York GiantsVWashington Football Team,NYG,Devontae Booker,BookDe00,,0,0,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.6
2021,2,New York GiantsVWashington Football Team,NYG,C.J. Board,BoarC.00,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
2021,2,New York GiantsVWashington Football Team,NYG,Elijhaa Penny,PennEl00,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2021,2,New York GiantsVWashington Football Team,NYG,Darius Slayton,SlayDa01,,0,0,0,0,3,1,54,0,0,0,0,0,0,0,0,0,0,0,12.9
2021,2,New York GiantsVWashington Football Team,NYG,Kenny Golladay,GollKe00,,0,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,5.3
2021,2,New York GiantsVWashington Football Team,NYG,Kyle Rudolph,RudoKy00,,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,3.5
2021,2,New York GiantsVWashington Football Team,NYG,Kaden Smith,SmitKa00,,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,3.4
2021,2,New York GiantsVWashington Football Team,NYG,Sterling Shepard,ShepSt00,,0,0,0,-9,9,0,94,0,0,0,0,0,0,0,0,0,0,0,13.0
2021,2,New York GiantsVWashington Football Team,WAS,Taylor Heinicke,HeinTa00,,2,336,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.04
2021,2,New York GiantsVWashington Football Team,WAS,Antonio Gibson,GibsAn00,,0,0,0,69,2,0,4,0,0,0,0,0,0,0,0,0,0,0,8.3
2021,2,New York GiantsVWashington Football Team,WAS,J.D. McKissic,McKiJ.00,,0,0,1,10,5,0,83,0,0,0,0,0,0,0,0,0,0,0,17.8
2021,2,New York GiantsVWashington Football Team,WAS,DeAndre Carter,CartDe02,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2021,2,New York GiantsVWashington Football Team,WAS,Terry McLaurin,McLaTe00,,0,0,0,0,11,1,107,0,0,0,0,0,0,0,0,0,0,0,22.2
2021,2,New York GiantsVWashington Football Team,WAS,Logan Thomas,ThomLo00,,0,0,0,0,5,0,45,0,0,0,0,0,0,0,0,0,0,0,7.0
2021,2,New York GiantsVWashington Football Team,WAS,Adam Humphries,HumpAd00,,0,0,0,0,7,0,44,0,0,0,0,0,0,0,0,0,0,0,7.9
2021,2,New York GiantsVWashington Football Team,WAS,Dyami Brown,BrowDy00,,0,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,4.9
2021,2,New York GiantsVWashington Football Team,WAS,Ricky Seals-Jones,SealRi00,,0,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,8.4
2021,2,New York GiantsVWashington Football Team,NYG,Jabrill Peppers,PeppJa00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,New York GiantsVWashington Football Team,NYG,Graham Gano,GanoGr44,,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,0,22.0
2021,2,New York GiantsVWashington Football Team,WAS,Dustin Hopkins,HopkDu00,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
