Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,2,Tennessee TitansVSeattle Seahawks,TEN,Ryan Tannehill,TannRy00,,0,347,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.58
2021,2,Tennessee TitansVSeattle Seahawks,TEN,Derrick Henry,HenrDe00,,0,0,3,182,6,0,55,0,0,0,0,0,0,0,0,0,0,0,44.7
2021,2,Tennessee TitansVSeattle Seahawks,TEN,Jeremy McNichols,McNiJe00,,0,0,0,3,3,0,26,0,0,0,0,0,0,0,0,0,0,0,4.4
2021,2,Tennessee TitansVSeattle Seahawks,TEN,Julio Jones,JoneJu02,,0,0,0,0,6,0,128,0,0,0,0,0,0,0,0,0,0,0,15.8
2021,2,Tennessee TitansVSeattle Seahawks,TEN,A.J. Brown,BrowAJ00,,0,0,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,5.8
2021,2,Tennessee TitansVSeattle Seahawks,TEN,MyCole Pruitt,PruiMy00,,0,0,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,5.8
2021,2,Tennessee TitansVSeattle Seahawks,TEN,Chester Rogers,RogeCh02,,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,3.2
2021,2,Tennessee TitansVSeattle Seahawks,TEN,Tommy Hudson,HudsTo00,,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2021,2,Tennessee TitansVSeattle Seahawks,TEN,Geoff Swaim,SwaiGe00,,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2.0
2021,2,Tennessee TitansVSeattle Seahawks,TEN,Nick Westbrook-Ikhine,WestNi00,,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2021,2,Tennessee TitansVSeattle Seahawks,SEA,Russell Wilson,WilsRu00,,2,343,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.32
2021,2,Tennessee TitansVSeattle Seahawks,SEA,Chris Carson,CarsCh00,,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1
2021,2,Tennessee TitansVSeattle Seahawks,SEA,Alex Collins,CollAl00,,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
2021,2,Tennessee TitansVSeattle Seahawks,SEA,Freddie Swain,SwaiFr00,,0,0,0,5,5,1,95,0,0,0,0,0,0,0,0,0,0,0,18.5
2021,2,Tennessee TitansVSeattle Seahawks,SEA,Tyler Lockett,LockTy00,,0,0,0,0,8,1,178,0,0,0,0,0,0,0,0,0,0,0,27.8
2021,2,Tennessee TitansVSeattle Seahawks,SEA,D.K. Metcalf,MetcDK00,,0,0,0,0,6,0,53,0,0,0,0,0,0,0,0,0,0,0,8.3
2021,2,Tennessee TitansVSeattle Seahawks,SEA,Travis Homer,HomeTr00,,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2.4
2021,2,Tennessee TitansVSeattle Seahawks,SEA,Gerald Everett,EverGe00,,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2021,2,Tennessee TitansVSeattle Seahawks,SEA,DeeJay Dallas,DallDe00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,Tennessee TitansVSeattle Seahawks,TEN,Randy Bullock,BullRa00,,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,12.0
2021,2,Tennessee TitansVSeattle Seahawks,SEA,Jason Myers,MyerJa00,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6.0
