0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020,9,Seattle SeahawksVBuffalo Bills,BUF,Josh Allen,QB,3,415,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0
2020,9,Seattle SeahawksVBuffalo Bills,SEA,Russell Wilson,QB,2,390,1,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,24.1
2020,9,Seattle SeahawksVBuffalo Bills,SEA,D.K. Metcalf,WR2,0,0,0,0,7,1,108,0,0,0,0,0,0,0,0,0,0,0,20.3
2020,9,Seattle SeahawksVBuffalo Bills,BUF,Stefon Diggs,WR1,0,0,0,0,9,0,118,0,0,0,0,0,0,0,0,0,0,0,16.3
2020,9,Seattle SeahawksVBuffalo Bills,SEA,David Moore,WR3,0,0,0,0,4,1,71,0,0,0,0,0,0,0,0,0,0,0,15.1
2020,9,Seattle SeahawksVBuffalo Bills,BUF,Tyler Bass,K,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0,0,15.0
2020,9,Seattle SeahawksVBuffalo Bills,BUF,Gabriel Davis,WR4,0,0,0,0,4,1,70,0,0,0,0,0,0,0,0,0,0,0,15.0
2020,9,Seattle SeahawksVBuffalo Bills,BUF,John Brown,WR2,0,0,0,0,8,0,99,0,0,0,0,0,0,0,0,0,0,0,13.9
2020,9,Seattle SeahawksVBuffalo Bills,SEA,Jason Myers,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,12.0
2020,9,Seattle SeahawksVBuffalo Bills,BUF,Zack Moss,RB2,0,0,1,18,2,0,30,0,0,0,0,0,0,0,0,0,0,0,11.8
2020,9,Seattle SeahawksVBuffalo Bills,SEA,DeeJay Dallas,RB2,0,0,1,31,2,0,8,0,0,0,0,0,0,0,0,0,0,0,10.9
2020,9,Seattle SeahawksVBuffalo Bills,SEA,Travis Homer,RB1,0,0,0,16,3,0,64,0,0,0,0,0,0,0,0,0,0,0,9.5
2020,9,Seattle SeahawksVBuffalo Bills,BUF,Isaiah McKenzie,,0,0,0,1,1,1,25,0,0,0,0,0,0,0,0,0,0,0,9.1
2020,9,Seattle SeahawksVBuffalo Bills,SEA,Jacob Hollister,,0,0,0,0,5,0,60,0,0,0,0,0,0,0,0,0,0,0,8.5
2020,9,Seattle SeahawksVBuffalo Bills,BUF,Tyler Kroft,TE1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,9,Seattle SeahawksVBuffalo Bills,SEA,Tyler Lockett,WR1,0,0,0,0,4,0,40,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,9,Seattle SeahawksVBuffalo Bills,BUF,Cole Beasley,WR3,0,0,0,0,3,0,39,0,0,0,0,0,0,0,0,0,0,0,5.4
2020,9,Seattle SeahawksVBuffalo Bills,BUF,Devin Singletary,RB1,0,0,0,1,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,9,Seattle SeahawksVBuffalo Bills,SEA,Will Dissly,TE2,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,9,Seattle SeahawksVBuffalo Bills,SEA,Greg Olsen,TE1,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,2.3
2020,9,Seattle SeahawksVBuffalo Bills,SEA,Alex Collins,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2020,9,Seattle SeahawksVBuffalo Bills,SEA,Freddie Swain,WR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,9,Seattle SeahawksVBuffalo Bills,BUF,Andre Roberts,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
