Name1,Name2,Name3,Name4,Name5,Name1Team,Name2Team,Name3Team,Name4Team,Name5Team,Name1Position,Name2Position,Name3Position,Name4Position,Name5Position,Salary,FPPG,p_id1,p_id2,p_id3,p_id4,p_id5
Brandin Cooks,Sam Darnold,Christian McCaffrey,Brandon Zylstra,Dan Arnold,HOU,CAR,CAR,CAR,CAR,WR1,QB,RB1,WR4,TE1,60000,92.38000011444092,64289-29501,64289-63589,64289-55050,64289-82731,64289-80546
Brandin Cooks,Sam Darnold,Christian McCaffrey,Brandon Zylstra,Jordan Akins,HOU,CAR,CAR,CAR,HOU,WR1,QB,RB1,WR4,TE2,59000,89.17999994754791,64289-29501,64289-63589,64289-55050,64289-82731,64289-57338
Brandin Cooks,Christian McCaffrey,Brandon Zylstra,Zane Gonzalez,Davis Mills,HOU,CAR,CAR,CAR,HOU,WR1,RB1,WR4,K,QB,59000,84.5800004005432,64289-29501,64289-55050,64289-82731,64289-39369,64289-89628
Brandin Cooks,Christian McCaffrey,Robby Anderson,Brandon Zylstra,Davis Mills,HOU,CAR,CAR,CAR,HOU,WR1,RB1,WR2,WR4,QB,59500,84.3300004005432,64289-29501,64289-55050,64289-26251,64289-82731,64289-89628
Brandin Cooks,Christian McCaffrey,Brandon Zylstra,Dan Arnold,Davis Mills,HOU,CAR,CAR,CAR,HOU,WR1,RB1,WR4,TE1,QB,57000,79.88000059127808,64289-29501,64289-55050,64289-82731,64289-80546,64289-89628
Brandin Cooks,Sam Darnold,Christian McCaffrey,Chuba Hubbard,Jordan Akins,HOU,CAR,CAR,CAR,HOU,WR1,QB,RB1,RB2,TE2,58500,78.48000037670134,64289-29501,64289-63589,64289-55050,64289-87467,64289-57338
Brandin Cooks,Christian McCaffrey,Robby Anderson,Dan Arnold,Davis Mills,HOU,CAR,CAR,CAR,HOU,WR1,RB1,WR2,TE1,QB,60000,76.73000097274779,64289-29501,64289-55050,64289-26251,64289-80546,64289-89628
Brandin Cooks,Christian McCaffrey,Chuba Hubbard,Zane Gonzalez,Davis Mills,HOU,CAR,CAR,CAR,HOU,WR1,RB1,RB2,K,QB,58500,73.88000082969666,64289-29501,64289-55050,64289-87467,64289-39369,64289-89628
Brandin Cooks,Christian McCaffrey,Terrace Marshall Jr.,Dan Arnold,Davis Mills,HOU,CAR,CAR,CAR,HOU,WR1,RB1,WR3,TE1,QB,58500,71.63000106811523,64289-29501,64289-55050,64289-85672,64289-80546,64289-89628
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Dan Arnold,Brandin Cooks,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,TE1,WR1,60000,98.08000087738036,64289-55050,64289-63589,64289-82731,64289-80546,64289-29501
Christian McCaffrey,Sam Darnold,DJ Moore,Brandon Zylstra,Anthony Miller,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR1,WR4,WR3,59000,97.0829413918888,64289-55050,64289-63589,64289-63043,64289-82731,64289-41936
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Zane Gonzalez,Mark Ingram II,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,K,RB1,60000,95.28000068664551,64289-55050,64289-63589,64289-82731,64289-39369,64289-14211
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Brandin Cooks,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,WR1,TE2,59000,94.88000071048737,64289-55050,64289-63589,64289-82731,64289-29501,64289-57338
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Mark Ingram II,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,RB1,K,59500,94.78000068664551,64289-55050,64289-63589,64289-82731,64289-14211,64289-56378
Christian McCaffrey,Sam Darnold,Robby Anderson,Brandon Zylstra,Joey Slye,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,WR4,K,58500,94.03000068664551,64289-55050,64289-63589,64289-26251,64289-82731,64289-56378
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Zane Gonzalez,David Johnson,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,K,RB2,57000,93.78000068664551,64289-55050,64289-63589,64289-82731,64289-39369,64289-62497
Christian McCaffrey,Sam Darnold,Robby Anderson,Brandon Zylstra,David Johnson,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,WR4,RB2,57500,93.53000068664551,64289-55050,64289-63589,64289-26251,64289-82731,64289-62497
Christian McCaffrey,Sam Darnold,Brandon Zylstra,David Johnson,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,RB2,K,56500,93.28000068664551,64289-55050,64289-63589,64289-82731,64289-62497,64289-56378
Christian McCaffrey,Sam Darnold,DJ Moore,David Johnson,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR1,RB2,WR3,60000,93.18294177335852,64289-55050,64289-63589,64289-63043,64289-62497,64289-41936
Christian McCaffrey,Sam Darnold,DJ Moore,Brandon Zylstra,Jordan Akins,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR1,WR4,TE2,60000,93.03000032901764,64289-55050,64289-63589,64289-63043,64289-82731,64289-57338
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Davis Mills,David Johnson,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,QB,RB2,59500,91.760000705719,64289-55050,64289-63589,64289-82731,64289-89628,64289-62497
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Mark Ingram II,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,RB1,WR3,56000,91.43294177335852,64289-55050,64289-63589,64289-82731,64289-14211,64289-41936
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Zane Gonzalez,Anthony Miller,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,K,WR3,54500,90.93294177335852,64289-55050,64289-63589,64289-82731,64289-39369,64289-41936
Christian McCaffrey,Sam Darnold,Robby Anderson,Brandon Zylstra,Anthony Miller,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,WR4,WR3,55000,90.68294177335852,64289-55050,64289-63589,64289-26251,64289-82731,64289-41936
